RegionCode,CountryCode,Year,Population
EU,ALB,1992,3247039
EU,ALB,1993,3227287
EU,ALB,1994,3207536
EU,ALB,1995,3187784
EU,ALB,1996,3168033
EU,ALB,1997,3148281
EU,ALB,1998,3128530
EU,ALB,1999,3108778
EU,ALB,2000,3089027
EU,ALB,2001,3060173
EU,ALB,2002,3051010
EU,ALB,2003,3039616
EU,ALB,2004,3026939
EU,ALB,2005,3011487
EU,ALB,2006,2992547
EU,ALB,2007,2970017
EU,ALB,2008,2947314
EU,ALB,2009,2927519
EU,ALB,2010,2913021
CSA,ARG,1991,33105763
CSA,ARG,1992,33568285
CSA,ARG,1993,34027240
CSA,ARG,1994,34488696
CSA,ARG,1995,34946110
CSA,ARG,1996,35389362
CSA,ARG,1997,35815971
CSA,ARG,1998,36233195
CSA,ARG,1999,36653031
CSA,ARG,2000,37070774
CSA,ARG,2001,37480493
CSA,ARG,2002,37885028
CSA,ARG,2003,38278164
CSA,ARG,2004,38668796
CSA,ARG,2005,39070501
CSA,ARG,2006,39476851
CSA,ARG,2007,39876111
CSA,ARG,2008,40273769
CSA,ARG,2009,40684338
CSA,ARG,2010,40788453
CSA,ARG,2011,41261490
CSA,ARG,2012,41733271
CSA,ARG,2013,42202935
CSA,ARG,2014,42669500
AS,ARM,1991,3617631
AS,ARM,1992,3574555
AS,ARM,1993,3457349
AS,ARM,1994,3373713
AS,ARM,1995,3322782
AS,ARM,1996,3298898
AS,ARM,1997,3271418
AS,ARM,1998,3240550
AS,ARM,1999,3206030
AS,ARM,2000,3168523
AS,ARM,2001,3133133
AS,ARM,2002,3105037
AS,ARM,2003,3084102
AS,ARM,2006,3026486
AS,ARM,2007,3004393
AS,ARM,2008,2983421
AS,ARM,2009,2964296
AS,ARM,2010,2946293
AS,ARM,2011,2928976
AS,ARM,2012,2914421
AS,ARM,2013,2901385
AS,ARM,2014,2889930
OA,AUS,1991,17284036
OA,AUS,1992,17478635
OA,AUS,1993,17634808
OA,AUS,1994,17805468
OA,AUS,1995,18004882
OA,AUS,1996,18224767
OA,AUS,1997,18423037
OA,AUS,1998,18607584
OA,AUS,1999,18812264
OA,AUS,2000,19028802
OA,AUS,2001,19274701
OA,AUS,2002,19495210
OA,AUS,2003,19720737
OA,AUS,2004,19932722
OA,AUS,2006,20450966
OA,AUS,2007,20827622
OA,AUS,2008,21249199
OA,AUS,2009,21691653
OA,AUS,2010,22031750
OA,AUS,2011,22340024
OA,AUS,2012,22733465
OA,AUS,2013,23128129
OA,AUS,2014,23475686
EU,AUT,1991,7754891
EU,AUT,1992,7840709
EU,AUT,1993,7905633
EU,AUT,1994,7936118
EU,AUT,1995,7948278
EU,AUT,1996,7959017
EU,AUT,1997,7968041
EU,AUT,1998,7976789
EU,AUT,1999,7992324
EU,AUT,2000,8011566
EU,AUT,2001,8042293
EU,AUT,2002,8081957
EU,AUT,2003,8121423
EU,AUT,2004,8171966
EU,AUT,2005,8227829
EU,AUT,2006,8268641
EU,AUT,2007,8295487
EU,AUT,2008,8321496
EU,AUT,2009,8343323
EU,AUT,2010,8363404
EU,AUT,2011,8391643
EU,AUT,2012,8429991
EU,AUT,2013,8479823
EU,AUT,2014,8546356
AS,AZE,1991,7271300
AS,AZE,1992,7382050
AS,AZE,1993,7494800
AS,AZE,1994,7596550
AS,AZE,1995,7684850
AS,AZE,1996,7763000
AS,AZE,1997,7838250
AS,AZE,1998,7913000
AS,AZE,1999,7982750
AS,AZE,2000,8048600
AS,AZE,2001,8111200
AS,AZE,2002,8171950
AS,AZE,2003,8234100
AS,AZE,2004,8306500
AS,AZE,2007,8581300
AS,BHR,1997,652643
AS,BHR,1998,672484
AS,BHR,1999,692133
AS,BHR,2000,711442
AS,BHR,2001,730257
AS,BHR,2002,748324
AS,BHR,2003,778256
AS,BHR,2004,833451
AS,BHR,2005,901921
AS,BHR,2006,970981
AS,BHR,2007,1040532
AS,BHR,2008,1110343
AS,BHR,2009,1179453
AS,BHR,2010,1213645
AS,BHR,2011,1212077
AS,BHR,2012,1224939
AS,BHR,2013,1261673
AS,BHR,2014,1311134
NAC,BHS,1993,288164
NAC,BHS,1994,293997
NAC,BHS,1995,299554
NAC,BHS,1996,304933
NAC,BHS,1997,310171
NAC,BHS,1998,315398
NAC,BHS,1999,320272
NAC,BHS,2000,325014
NAC,BHS,2001,329626
NAC,BHS,2002,334002
NAC,BHS,2004,343089
NAC,BHS,2005,347804
NAC,BHS,2006,352664
NAC,BHS,2007,357666
NAC,BHS,2008,362795
NAC,ATG,1999,73821
NAC,ATG,2000,75055
NAC,ATG,2001,76215
