RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio
EU,Europe,ALB,Albania,1992,Male,33,0.33195856,2.33580198,2.07638583,3247039,652174990.8,200.8522198,906184212.3,1740,226.0054213,45.315
EU,Europe,ALB,Albania,1992,Female,14,0.19185967,0.8664197,0.87456272,3247039,652174990.8,200.8522198,906184212.3,1740,226.0054213,45.315
EU,Europe,ALB,Albania,1993,Male,46,0.47772354,3.33093767,2.93723262,3227287,1185315468,367.2792251,1024263065,2110,85.00475124,47.798
EU,Europe,ALB,Albania,1993,Female,27,0.38516405,1.7550773,1.68602473,3227287,1185315468,367.2792251,1024263065,2110,85.00475124,47.798
EU,Europe,ALB,Albania,1994,Male,37,0.41940603,2.67879607,2.33261884,3207536,1880950864,586.4161351,1216680600,2300,22.56505269,50.086
EU,Europe,ALB,Albania,1994,Female,15,0.24342746,0.98814675,0.92833271,3207536,1880950864,586.4161351,1216680600,2300,22.56505269,50.086
EU,Europe,ALB,Albania,1995,Male,57,0.6121134,3.65953804,3.54521707,3187784,2392764853,750.6044492,2035219960,2710,7.793218538,53.186
EU,Europe,ALB,Albania,1995,Female,34,0.50392767,2.11338033,2.07178112,3187784,2392764853,750.6044492,2035219960,2710,7.793218538,53.186
EU,Europe,ALB,Albania,1996,Male,53,0.53982481,3.65629951,3.2635468,3168033,3199640815,1009.977111,2823912223,3050,12.72547781,53.039
EU,Europe,ALB,Albania,1996,Female,39,0.56285178,2.43144652,2.35081374,3168033,3199640815,1009.977111,2823912223,3050,12.72547781,53.039
EU,Europe,ALB,Albania,1997,Male,124,1.25493371,8.19626361,7.61249923,3148281,2258513974,717.3800477,2532885529,2780,33.18027438,51.873
EU,Europe,ALB,Albania,1997,Female,52,0.82526583,3.0626825,3.0671228,3148281,2258513974,717.3800477,2532885529,2780,33.18027438,51.873
EU,Europe,ALB,Albania,1998,Male,104,1.07705054,6.65170488,6.30417652,3128530,2545964541,813.7893966,2700757967,3110,20.64285887,49.373
EU,Europe,ALB,Albania,1998,Female,61,0.89442815,3.43427377,3.57834223,3128530,2545964541,813.7893966,2700757967,3110,20.64285887,49.373
EU,Europe,ALB,Albania,1999,Male,101,1.1364915,6.1376203,6.07701564,3108778,3212121651,1033.242532,2956593292,3550,0.389437654,48.201
EU,Europe,ALB,Albania,1999,Female,53,0.82644628,2.88340706,3.09687975,3108778,3212121651,1033.242532,2956593292,3550,0.389437654,48.201
EU,Europe,ALB,Albania,2000,Male,39,0.41082903,2.65032516,2.44974874,3089027,3480355258,1126.68334,3406993379,3980,0.050018136,48.925
EU,Europe,ALB,Albania,2000,Female,18,0.26019081,1.09826264,1.1826544,3089027,3480355258,1126.68334,3406993379,3980,0.050018136,48.925
EU,Europe,ALB,Albania,2001,Male,84,0.96374484,5.79343945,5.48860689,3060173,3922100794,1281.659826,3906029741,4440,3.10758827,48.76
EU,Europe,ALB,Albania,2001,Female,35,0.54457756,2.30295001,2.27445231,3060173,3922100794,1281.659826,3906029741,4440,3.10758827,48.76
EU,Europe,ALB,Albania,2002,Male,91,0.9974789,6.41575032,5.91792168,3051010,4348068242,1425.124219,4175916870,4780,7.770525834,48.943
EU,Europe,ALB,Albania,2002,Female,42,0.58947368,2.77085591,2.71590121,3051010,4348068242,1425.124219,4175916870,4780,7.770525834,48.943
EU,Europe,ALB,Albania,2003,Male,73,0.72912505,4.78402369,4.71966484,3039616,5611496257,1846.120121,5006223195,5130,0.484002612,48.608
EU,Europe,ALB,Albania,2003,Female,51,0.64126745,3.30582648,3.27754228,3039616,5611496257,1846.120121,5006223195,5130,0.484002612,48.608
EU,Europe,ALB,Albania,2004,Male,89,0.89456227,5.97194565,5.71107358,3026939,7184685782,2373.581292,6361564927,5560,2.280019169,48.118
EU,Europe,ALB,Albania,2004,Female,57,0.73086293,3.54280843,3.63314885,3026939,7184685782,2373.581292,6361564927,5560,2.280019169,48.118
EU,Europe,ALB,Albania,2005,Male,0,0,0,0,3011487,8052077248,2673.787816,7887616711,5980,2.366581957,47.416
EU,Europe,ALB,Albania,2005,Female,0,0,0,0,3011487,8052077248,2673.787816,7887616711,5980,2.366581957,47.416
EU,Europe,ALB,Albania,2006,Male,0,0,0,0,2992547,8896075005,2972.743621,9130490635,6760,2.370728319,46.701
EU,Europe,ALB,Albania,2006,Female,0,0,0,0,2992547,8896075005,2972.743621,9130490635,6760,2.370728319,46.701
EU,Europe,ALB,Albania,2007,Male,77,0.9529703,5.2266231,5.19001522,2970017,10677324853,3595.038295,10274253836,7490,2.932682482,45.606
EU,Europe,ALB,Albania,2007,Female,47,0.72890819,3.04093983,3.16199577,2970017,10677324853,3595.038295,10274253836,7490,2.932682482,45.606
EU,Europe,ALB,Albania,2008,Male,99,1.09719605,6.80228735,6.72248822,2947314,12881352894,4370.539716,11892990139,8270,3.320870904,46.243
EU,Europe,ALB,Albania,2008,Female,61,0.85674157,3.91649367,4.13657198,2947314,12881352894,4370.539716,11892990139,8270,3.320870904,46.243
EU,Europe,ALB,Albania,2009,Male,0,0,0,0,2927519,12044205550,4114.134033,12529413394,8670,2.266922095,47.473
EU,Europe,ALB,Albania,2009,Female,0,0,0,0,2927519,12044205550,4114.134033,12529413394,8670,2.266922095,47.473
EU,Europe,ALB,Albania,2010,Male,61,0.93115555,3.86359392,4.18477209,2913021,11926926616,4094.349686,12709390046,9530,3.626046956,47.422
EU,Europe,ALB,Albania,2010,Female,35,0.62634216,2.27848501,2.4048983,2913021,11926926616,4094.349686,12709390046,9530,3.626046956,47.422
AS,Asia,ARM,Armenia,1994,Male,76,0.55861816,4.86343004,4.18917429,3373713,1315158637,389.8252865,1311101988,1580,3373.759443,59.578
AS,Asia,ARM,Armenia,1994,Female,36,0.32588033,1.84469615,1.86267915,3373713,1315158637,389.8252865,1311101988,1580,3373.759443,59.578
AS,Asia,ARM,Armenia,1995,Male,95,0.71444687,5.69386564,5.21920668,3322782,1468317435,441.8940018,1507765895,1810,175.9513255,59.147
AS,Asia,ARM,Armenia,1995,Female,35,0.30316154,1.76096605,1.80430972,3322782,1468317435,441.8940018,1507765895,1810,175.9513255,59.147
AS,Asia,ARM,Armenia,1996,Male,63,0.47727273,4.07547032,3.4471438,3298898,1596968946,484.091641,1641719919,1960,18.68118564,57.216
AS,Asia,ARM,Armenia,1996,Female,24,0.2045164,1.14560479,1.23329908,3298898,1596968946,484.091641,1641719919,1960,18.68118564,57.216
AS,Asia,ARM,Armenia,1997,Male,62,0.49190733,3.51430236,3.37856248,3271418,1639492445,501.1565152,1746181543,2140,13.96076412,56.033
AS,Asia,ARM,Armenia,1997,Female,15,0.13179861,0.72795413,0.7688759,3271418,1639492445,501.1565152,1746181543,2140,13.96076412,56.033
AS,Asia,ARM,Armenia,1998,Male,48,0.39840637,2.72147281,2.60671228,3240550,1893726437,584.3842673,1824147622,2290,8.672486324,56.717
AS,Asia,ARM,Armenia,1998,Female,18,0.16126142,0.85496906,0.92151743,3240550,1893726437,584.3842673,1824147622,2290,8.672486324,56.717
AS,Asia,ARM,Armenia,1999,Male,49,0.39724362,2.63852531,2.6535254,3206030,1845482173,575.6284792,1893129003,2420,0.64824576,55.398
AS,Asia,ARM,Armenia,1999,Female,18,0.15316542,0.82255374,0.92109303,3206030,1845482173,575.6284792,1893129003,2420,0.64824576,55.398
AS,Asia,ARM,Armenia,2000,Male,47,0.38282968,2.63798011,2.54260211,3168523,1911563669,603.2980252,2031449553,2650,-0.790883769,55.273
AS,Asia,ARM,Armenia,2000,Female,14,0.11916922,0.68016734,0.71651569,3168523,1911563669,603.2980252,2031449553,2650,-0.790883769,55.273
AS,Asia,ARM,Armenia,2001,Male,48,0.38498556,2.59534088,2.59855704,3133133,2118467913,676.1500113,2172115724,3000,3.145904647,55.084
AS,Asia,ARM,Armenia,2001,Female,12,0.10403121,0.58786767,0.61411136,3133133,2118467913,676.1500113,2172115724,3000,3.145904647,55.084
AS,Asia,ARM,Armenia,2002,Male,62,0.47353548,3.93077763,4.01820376,3105037,2376335048,765.3161777,2436136799,3500,1.060049293,54.845
AS,Asia,ARM,Armenia,2002,Female,12,0.09630046,0.6654483,0.71915456,3105037,2376335048,765.3161777,2436136799,3500,1.060049293,54.845
AS,Asia,ARM,Armenia,2003,Male,50,0.37374794,3.34168132,3.23589409,3084102,2807061009,910.1712617,2892531562,4090,4.721553366,54.596
AS,Asia,ARM,Armenia,2003,Female,9,0.07122507,0.50911645,0.54018399,3084102,2807061009,910.1712617,2892531562,4090,4.721553366,54.596
AS,Asia,ARM,Armenia,2006,Male,61,0.43185841,4.24406729,4.38780736,3026486,6384452067,2109.526384,5964254729,6570,2.892356625,54.187
AS,Asia,ARM,Armenia,2006,Female,17,0.12999924,0.91399635,1.0841249,3026486,6384452067,2109.526384,5964254729,6570,2.892356625,54.187
AS,Asia,ARM,Armenia,2007,Male,51,0.36648462,3.47748276,3.70505711,3004393,9206301270,3064.279963,8093596689,7780,4.407360896,54.27
