RegionCode,RegionName,CountryCode
EU,Europe,ALB
CSA,Central and South America,ARG
AS,Asia,ARM
OA,Oceania,AUS
EU,Europe,AUT
AS,Asia,AZE
AS,Asia,BHR
NAC,North America and the Caribbean,BHS
NAC,North America and the Caribbean,ATG
NAC,North America and the Caribbean,BRB
EU,Europe,BLR
EU,Europe,BEL
CSA,Central and South America,BLZ
EU,Europe,BIH
CSA,Central and South America,BRA
AS,Asia,BRN
EU,Europe,BGR
AF,Africa,CPV
NAC,North America and the Caribbean,CAN
CSA,Central and South America,CHL
CSA,Central and South America,COL
CSA,Central and South America,CRI
EU,Europe,HRV
NAC,North America and the Caribbean,CUB
AS,Asia,CYP
EU,Europe,CZE
EU,Europe,DNK
NAC,North America and the Caribbean,DMA
NAC,North America and the Caribbean,DOM
CSA,Central and South America,ECU
AF,Africa,EGY
CSA,Central and South America,SLV
EU,Europe,EST
OA,Oceania,FJI
EU,Europe,FIN
EU,Europe,FRA
CSA,Central and South America,GUF
AS,Asia,GEO
EU,Europe,DEU
EU,Europe,GRC
NAC,North America and the Caribbean,GRD
NAC,North America and the Caribbean,GLP
CSA,Central and South America,GTM
CSA,Central and South America,GUY
AS,Asia,HKG
EU,Europe,HUN
EU,Europe,ISL
AS,Asia,IRN
AS,Asia,IRQ
EU,Europe,IRL
AS,Asia,ISR
EU,Europe,ITA
NAC,North America and the Caribbean,JAM
AS,Asia,JPN
AS,Asia,KAZ
AS,Asia,KOR
AS,Asia,KWT
AS,Asia,KGZ
EU,Europe,LVA
EU,Europe,LTU
EU,Europe,LUX
AS,Asia,MDV
EU,Europe,MLT
NAC,North America and the Caribbean,MTQ
AF,Africa,MUS
AF,Africa,MYT
CSA,Central and South America,MEX
EU,Europe,MDA
EU,Europe,MNE
EU,Europe,NLD
OA,Oceania,NZL
CSA,Central and South America,NIC
EU,Europe,MKD
EU,Europe,NOR
CSA,Central and South America,PAN
CSA,Central and South America,PRY
CSA,Central and South America,PER
AS,Asia,PHL
EU,Europe,POL
EU,Europe,PRT
NAC,North America and the Caribbean,PRI
AF,Africa,REU
EU,Europe,ROU
EU,Europe,RUS
NAC,North America and the Caribbean,KNA
NAC,North America and the Caribbean,LCA
NAC,North America and the Caribbean,VCT
EU,Europe,SRB
AF,Africa,SYC
AS,Asia,SGP
EU,Europe,SVK
EU,Europe,SVN
AF,Africa,ZAF
EU,Europe,ESP
AS,Asia,LKA
CSA,Central and South America,SUR
EU,Europe,SWE
EU,Europe,CHE
AS,Asia,SYR
AS,Asia,TJK
AS,Asia,THA
NAC,North America and the Caribbean,TTO
AS,Asia,TUR
AS,Asia,TKM
EU,Europe,UKR
EU,Europe,GBR
NAC,North America and the Caribbean,USA
CSA,Central and South America,URY
AS,Asia,UZB
CSA,Central and South America,VEN
AS,Asia,JOR
AS,Asia,ARE
AS,Asia,LBN
AS,Asia,MNG
AS,Asia,MYS
AS,Asia,OMN
AS,Asia,QAT
